"_time",IPSource,ja3,PortDestination,PortSource,UserAgent,Request
"2018-03-24 18:57:10.691 UTC","47.100.64.86",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,52598,,
"2018-03-24 18:57:10.356 UTC","47.100.64.86",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,44664,,
"2018-03-24 18:57:10.132 UTC","47.100.64.86",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,38410,,
"2018-03-24 18:56:40.688 UTC","39.107.14.208",c3a6cf0bf2e690ac8e1ecf6081f17a50,993,54658,"-","GET / HTTP/1.0"
"2018-03-24 18:56:32.706 UTC","47.97.23.199",c3a6cf0bf2e690ac8e1ecf6081f17a50,993,39670,"-","GET / HTTP/1.0"
"2018-03-24 18:56:32.347 UTC","47.97.23.199",c3a6cf0bf2e690ac8e1ecf6081f17a50,993,54998,"-","GET / HTTP/1.0"
"2018-03-24 18:56:32.204 UTC","47.97.23.199",c3a6cf0bf2e690ac8e1ecf6081f17a50,993,39722,"-","GET / HTTP/1.0"
"2018-03-24 18:56:15.761 UTC","47.97.16.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,995,38042,,
"2018-03-24 18:55:25.383 UTC","119.23.174.205",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,39170,,
"2018-03-24 18:55:25.323 UTC","119.23.174.205",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,44496,,
"2018-03-24 18:54:21.117 UTC","47.100.64.86",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,40754,,
"2018-03-24 18:54:09.473 UTC","47.97.23.199",c3a6cf0bf2e690ac8e1ecf6081f17a50,993,41592,"-","GET / HTTP/1.0"
"2018-03-24 18:52:53.183 UTC","47.97.16.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,49450,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:52.869 UTC","47.97.16.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,51238,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:52.855 UTC","47.97.16.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,54056,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:52.436 UTC","47.97.16.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,50560,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:40.916 UTC","106.14.104.214",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,60176,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:40.850 UTC","106.14.104.214",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,47576,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:40.761 UTC","106.14.104.214",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,32784,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:40.644 UTC","106.14.104.214",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,59500,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:27.576 UTC","47.52.210.105",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,60452,,
"2018-03-24 18:52:27.018 UTC","47.52.210.105",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,38666,,
"2018-03-24 18:52:26.956 UTC","47.52.210.105",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,57898,,
"2018-03-24 18:52:26.797 UTC","47.52.210.105",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,49632,,
"2018-03-24 18:52:24.359 UTC","47.94.52.138",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,40570,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:24.311 UTC","47.94.52.138",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,33120,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:52:00.905 UTC","106.15.52.246",c3a6cf0bf2e690ac8e1ecf6081f17a50,990,39564,,
"2018-03-24 18:48:01.905 UTC","47.100.130.114",c3a6cf0bf2e690ac8e1ecf6081f17a50,636,34620,"-","0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00"
"2018-03-24 18:38:19.720 UTC","47.52.210.90",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,53914,"-","GET / HTTP/1.0"
"2018-03-24 18:37:46.728 UTC","47.93.180.168",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,55402,"-","GET / HTTP/1.0"
"2018-03-24 18:36:55.329 UTC","35.227.115.213",fc848b3609f4b89c9de5dc1dbe7f0f62,443,52918,,
"2018-03-24 18:36:22.656 UTC","47.93.180.168",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,41766,"-","GET / HTTP/1.0"
"2018-03-24 18:35:15.581 UTC","47.97.21.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,59272,"-","GET / HTTP/1.0"
"2018-03-24 18:34:53.585 UTC","106.15.76.92",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,45214,"-","GET / HTTP/1.0"
"2018-03-24 18:34:43.408 UTC","47.97.21.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,35546,"-","GET / HTTP/1.0"
"2018-03-24 18:34:05.020 UTC","47.97.16.6",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,42444,"-","GET / HTTP/1.0"
"2018-03-24 18:32:27.635 UTC","47.97.16.6",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,44888,"-","GET / HTTP/1.0"
"2018-03-24 18:30:42.634 UTC","118.31.244.58",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,33170,"-","GET / HTTP/1.0"
"2018-03-24 18:30:25.690 UTC","47.97.21.76",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,48916,"-","GET / HTTP/1.0"
"2018-03-24 18:29:37.691 UTC","118.31.244.58",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,56082,"-","GET / HTTP/1.0"
"2018-03-24 18:29:13.050 UTC","118.31.244.58",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,46250,"-","GET / HTTP/1.0"
"2018-03-24 18:28:53.657 UTC","125.84.180.203",02551233aac971388542804245bcd317,443,30535,"-","GET / HTTP/1.0"
"2018-03-24 18:27:00.556 UTC","119.23.174.205",c3a6cf0bf2e690ac8e1ecf6081f17a50,443,45624,"-","GET / HTTP/1.0"
"2018-03-24 18:20:58.253 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,60860,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
